artista_principal,id_track,nome_track,popularidade_track,colaboradores
Alok,7MIhUdNJtaOnDmC5nBC1fb,Deep Down (feat. Never Dull),78,"Ella Eyre, Kenny Dope, Never Dull"
Alok,0iB5f04XdJ2tcfhoVkeLV8,LET'S GET FKD UP,76,"Mondello'G, CERES, Tribbs"
Alok,39cmB3ZoTOLwOTq7tMNqKa,Hear Me Now,73,"Zeeba, Bruno Martini"
Alok,0OvO2X2Q3i98dc5RcgEN3x,Jungle,72,"The Chainsmokers, Mae Stephens"
Alok,00E0Z2jrF7reoHps4zcbWQ,Car Keys (Ayla),70,Ava Max
Alok,6iW38RGqdDGOofmz2HeXLW,Piece Of Your Heart - Alok Remix,69,"MEDUZA, Goodboys"
Alok,0sftzYE0YgPHXrvJyUyGjB,Deep In Your Love,69,Bebe Rexha
Alok,6r6wTVl7sBndpdlzBSEYnF,Lua,63,"Ana Castela, Hungria"
Alok,4s6PYL51msvsxDjME9i6OM,Headlights (feat. KIDDO),59,"Alan Walker, KIDDO"
Alok,5Hp4xFihdOE2dmDzxWcBFb,All By Myself,67,"Sigala, Ellie Goulding"
Jorge & Mateus,5sKGmZDmkGwFed5dPpZpZL,Xonei,81,Henrique & Juliano
Jorge & Mateus,6X6jKoyw1OjogRghMEQAZV,Haverá Sinais - Ao Vivo,76,Lauana Prado
Jorge & Mateus,3zlU0V45H1FcjZeGEVt8ih,Anti Amor - Ao Vivo,66,Gustavo Mioto
Jorge & Mateus,5UiKFCnWnfWoiywEaQ0tM7,Marca Evidente,42,Israel & Rodolffo
Marília Mendonça,7McCAKExE8KsI2q4Y8wx4U,Dois Enganados,71,Murilo Huff
Marília Mendonça,7IIDB25xKfPbw595U53Ose,Vai Lá Em Casa Hoje - Ao Vivo,68,George Henrique & Rodrigo
Marília Mendonça,6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,62,Hugo & Guilherme
Marília Mendonça,4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,67,Maiara & Maraisa
Marília Mendonça,4G0CNdwFI4oeHFVZDcqLvK,Experiência - Ao Vivo,66,Henrique Casttro
Gusttavo Lima,1OwoPY7wYgKQIyl9maWmSM,Canudinho - Ao Vivo,64,Ana Castela
Gusttavo Lima,2d2gzh9YHgJBl7usdvKqgR,Mala dos Porta-Mala - Ao Vivo,64,Matheus & Kauan
Gusttavo Lima,3knAG9kd3jNNuJlZZUAOoQ,Cep Novo - Ao Vivo,64,Murilo Huff
Zé Neto & Cristiano,3Na9gwLmFdEJH2l54AYwpk,Sombra Desconhecida - Ao Vivo,76,Lauana Prado
Zé Neto & Cristiano,0agjQg7eWrwFtqBQRKu1CX,Foi Intenso - Ao Vivo,65,Ana Castela
Zé Neto & Cristiano,2ZI7HOZoBqrV3lFlHKJshI,Melação - Ao Vivo,68,Luan Santana
LUDMILLA,2iIBpwP4FyQ95xgVail3yr,No_se_ve.mp3,71,"Emilia, ZECCA"
LUDMILLA,6GmyQws2xpUFIN5dXBNTrl,Dia de Fluxo,70,"AgroPlay, Ana Castela"
LUDMILLA,06WkQibI8OhOLjDxIRKu5B,Ainda Gosto de Você / Já Era - Ao Vivo,68,"Sorriso Maroto, Belo"
LUDMILLA,02hupCKclLtfyoQrp2xtfz,Não Para,68,"Mc Daniel, Blakbone, DJ Cash"
LUDMILLA,3hXCANK2ys6D2HZE3kuDfz,Numanice Lud Session - Modo Avião / A Tua Voz / 700 Por Hora / Radar / A Música Mais Triste do Ano - Ao vivo,67,Gloria Groove
LUDMILLA,2IGh6DnMiX408xwoJP9Lmb,Falta de Mim - Ao Vivo,64,Mari Fernandez
LUDMILLA,0SzZVQw0tEazwNko6bdKwS,Saudade da Gente (Ao Vivo na Resenha Pagode e Chinelo),63,Grupo BalacoBaco
Wesley Safadão,4dGx53NJZJyuuLP5ownH1p,Mentira Estampada,70,Natanzinho Lima
Wesley Safadão,6ispUK6ZFslsmc8Z3Uimaa,Reinventar,67,Heitor Costa
Wesley Safadão,40LXKDtMsirrWzOB9TRx3g,Bem-vinda ao Meu Mundo,67,Rey Vaqueiro
Wesley Safadão,0Cu3ahpXrok1tugg1LwmvK,Bipolar,64,Natanzinho Lima
Wesley Safadão,4HrIZyZIqd7kqShDXEyN1n,Laranjinha,65,Natanzinho Lima
Wesley Safadão,1V2RBDA7cvLniTAt3fQZoC,Novinha Não Chora,64,Felipe Amorim
Wesley Safadão,2kbxK6YN1SkruIuSrLMzIb,Rejeita,62,Natanzinho Lima
